frame,track_id,class_id,x_center,y_center,width,height
1,345,2,844.06,633.99,110.7,75.51
1,348,2,1157.35,660.7,98.03,92.65
1,339,2,1047.31,938.65,266.56,255.48
1,353,2,970.16,639.59,91.32,93.16
1,373,2,727.67,1128.46,576.05,132.75
2,345,2,845.09,634.77,117.29,78.8
2,348,2,1151.85,633.55,83.75,67.67
2,339,2,1047.66,936.49,267.09,255.87
2,353,2,971.36,638.44,93.5,94.35
2,373,2,729.1,1118.74,586.85,150.17
3,345,2,844.32,634.01,117.69,79.06
3,348,2,1147.15,615.22,92.63,69.0
3,339,2,1058.03,920.65,255.27,243.2
3,353,2,973.66,638.82,100.39,96.62
3,373,2,736.91,1101.24,609.74,187.62
3,311,2,446.24,625.76,211.93,72.99
4,345,2,844.91,633.94,116.07,78.89
4,348,2,1146.26,603.18,94.7,71.96
4,339,2,1086.71,868.97,217.93,204.82
4,353,2,974.33,639.58,101.86,97.45
4,373,2,749.33,1070.49,640.6,244.71
4,311,2,459.4,625.73,184.17,72.43
5,345,2,844.77,633.14,113.04,77.8
5,353,2,972.89,639.81,98.72,95.2
5,373,5,874.58,1021.14,482.39,344.79
6,345,2,844.91,633.82,112.74,76.58
6,353,2,970.26,638.39,95.17,94.3
6,336,2,1106.72,543.65,118.54,64.26
7,345,2,845.75,633.9,112.16,72.73
7,353,2,965.95,641.63,88.99,92.13
7,311,2,468.88,625.3,164.26,71.97
8,345,2,844.08,633.97,109.98,74.5
8,353,2,967.83,641.07,92.55,97.23
8,393,0,1433.3,881.19,60.28,152.61
8,373,2,924.63,1054.07,378.78,267.08
9,345,2,845.77,634.18,113.0,75.8
9,393,0,1439.46,915.66,66.24,163.94
9,373,2,1003.39,982.13,282.92,267.42
10,345,2,844.48,634.45,109.51,74.96
10,393,0,1448.58,960.71,73.39,184.75
10,339,2,1076.46,828.09,178.35,177.65
