frame,track_id,class_id,x_center,y_center,width,height
1,1955,2,859.6,634.24,111.97,80.61
2,1955,2,859.71,633.55,112.37,81.5
2,1960,2,858.43,637.9,109.49,53.55
3,1955,2,859.66,633.46,112.04,81.64
4,1955,2,859.33,637.02,111.37,74.76
4,1960,2,860.57,628.68,111.83,71.75
5,1955,2,859.02,637.77,110.89,61.89
5,1960,2,860.25,631.02,112.67,80.06
6,1955,2,858.96,638.29,110.92,55.38
6,1960,2,860.09,632.24,113.08,82.42
7,1960,2,860.07,633.03,113.24,82.66
8,1960,2,860.12,633.45,112.95,82.78
8,1955,2,859.16,638.0,111.06,56.41
9,1960,2,860.23,633.86,113.09,82.21
10,1960,2,860.12,633.52,113.14,83.52
