frame,track_id,class_id,x_center,y_center,width,height
1,6713,2,1030.64,968.52,263.46,262.92
1,6714,2,1103.92,722.92,145.82,170.74
2,6713,2,1029.6,968.59,261.49,261.68
2,6714,2,1103.72,719.63,145.7,177.32
3,6713,2,1029.31,968.09,262.67,262.01
3,6714,2,1103.71,722.49,145.78,171.95
3,6703,2,479.18,627.37,142.29,61.22
3,6715,2,1135.76,631.5,66.88,44.12
4,6713,2,1029.44,967.81,263.3,263.11
4,6714,2,1103.89,723.17,146.44,170.88
5,6713,2,1029.2,967.89,262.45,263.06
5,6714,2,1104.03,723.0,145.85,170.68
5,6715,2,1134.73,628.89,67.38,48.79
6,6713,2,1029.77,968.99,262.45,263.27
6,6714,2,1103.78,723.35,145.63,169.51
6,6715,2,1135.23,629.32,67.07,48.56
6,6703,2,476.87,625.89,146.1,60.7
7,6713,2,1030.2,969.08,263.84,263.57
7,6714,2,1103.9,723.72,145.81,169.03
7,6715,2,1135.82,628.71,67.14,49.47
7,6703,2,477.76,625.79,144.45,60.67
8,6713,2,1030.97,969.84,264.87,263.37
8,6714,2,1103.9,724.01,145.59,168.59
8,6703,2,477.18,625.51,145.47,61.74
9,6713,2,1030.9,969.43,265.97,263.7
9,6714,2,1103.87,724.19,145.01,168.1
9,6703,2,477.47,625.46,144.3,61.09
9,6715,2,1135.74,628.46,67.94,49.72
10,6713,2,1030.88,970.19,264.93,263.85
10,6714,2,1103.67,723.85,145.42,169.07
10,6703,2,477.1,625.79,145.33,61.13
10,6715,2,1134.83,627.77,67.88,51.06
