frame,track_id,class_id,x_center,y_center,width,height
1,21993,2,477.16,624.19,144.3,62.18
2,21993,2,477.44,624.23,144.17,61.74
3,21993,2,476.71,624.69,145.44,61.36
3,22216,2,817.47,1063.73,411.45,265.3
4,21993,2,477.0,625.22,144.59,60.88
5,21993,2,476.99,625.0,144.37,61.27
5,22226,5,1119.41,575.08,123.71,142.41
5,22096,2,1051.02,748.06,148.16,130.93
5,22216,2,870.44,1133.4,361.7,127.49
6,21993,2,477.09,625.33,144.45,61.43
6,22226,5,1145.62,559.02,157.84,129.04
7,21993,2,477.29,625.37,144.16,60.54
7,22086,2,1098.35,639.65,79.11,70.45
8,21993,2,477.4,625.03,143.86,60.64
9,21993,2,476.62,625.11,145.33,61.97
10,21993,2,476.02,624.85,146.6,63.03
10,22085,2,1095.29,815.85,152.69,159.44
10,22086,2,1115.7,632.96,81.93,68.81
