frame,track_id,class_id,x_center,y_center,width,height
1,38510,2,170.69,925.11,341.26,185.26
1,38504,2,369.82,753.82,218.79,131.85
1,38516,0,1431.41,607.03,29.69,64.39
2,38510,2,170.92,925.14,341.3,185.03
2,38504,2,365.95,753.86,226.3,134.58
3,38510,2,171.11,924.92,340.75,183.76
3,38421,2,799.42,669.94,112.85,93.47
4,38510,2,171.22,924.86,340.64,183.42
4,38504,2,365.72,753.3,228.0,134.24
5,38510,2,171.25,924.77,340.46,182.8
5,38504,2,365.57,752.74,230.56,135.73
6,38510,2,170.86,925.12,341.06,185.17
6,38504,2,366.18,753.51,226.93,135.25
6,38421,2,798.08,668.36,105.85,90.62
7,38510,2,170.95,924.39,340.53,184.47
7,38504,2,370.1,753.79,217.99,130.79
7,38516,0,1432.63,606.01,26.66,63.91
8,38510,2,170.94,924.58,340.77,185.0
8,38504,2,365.99,753.78,228.03,133.64
8,38516,0,1433.38,606.12,26.03,63.66
8,38421,2,800.87,667.54,107.97,86.89
9,38510,2,170.92,924.26,340.83,184.8
9,38504,2,370.54,753.82,219.55,130.25
9,38516,0,1432.85,605.9,26.14,63.48
9,38572,0,1083.49,681.58,33.26,78.22
9,38421,2,799.96,668.54,106.16,88.53
10,38510,2,171.15,923.98,340.65,184.7
10,38504,2,366.27,753.8,227.05,133.15
10,38572,0,1079.04,704.37,35.71,84.08
10,38421,2,798.88,669.71,104.15,88.03
