frame,track_id,class_id,x_center,y_center,width,height
1,65202,2,618.18,666.07,163.56,82.07
1,65658,2,313.58,863.53,234.97,130.95
1,65165,2,671.89,697.19,206.14,99.34
1,65742,2,310.68,775.97,239.26,99.41
1,65166,2,406.42,614.99,123.7,62.42
1,65639,2,263.62,651.65,98.27,93.87
2,65202,2,617.19,666.38,162.27,81.94
2,65658,2,313.94,862.83,235.98,131.11
2,65165,2,671.77,697.03,206.8,99.05
2,65742,2,310.93,775.55,237.87,98.28
2,65166,2,409.87,615.0,131.26,65.93
2,65639,2,264.02,651.39,97.5,93.22
3,65202,2,617.35,666.1,162.54,81.99
3,65658,2,314.02,862.57,236.05,131.29
3,65165,2,674.18,696.66,203.64,101.31
3,65742,2,311.16,775.4,236.88,98.04
3,65166,2,406.92,615.29,127.23,65.72
3,65639,2,262.99,651.08,96.86,93.89
4,65202,2,617.9,666.04,163.32,82.32
4,65658,2,314.02,862.4,236.92,131.42
4,65165,2,675.03,696.69,202.3,101.53
4,65742,2,311.29,775.95,238.36,98.74
4,65166,2,408.12,615.24,126.62,62.25
5,65202,2,617.63,666.33,162.83,82.47
5,65658,2,313.88,862.64,237.4,131.45
5,65165,2,675.58,697.11,201.52,101.66
5,65742,2,311.49,776.42,239.05,98.56
5,65166,2,407.17,616.58,128.03,63.72
6,65202,2,618.33,666.45,164.47,82.47
6,65658,2,313.83,862.75,237.27,131.41
6,65165,2,675.79,696.81,201.4,101.94
6,65742,2,311.43,776.47,239.26,98.39
6,65166,2,406.99,617.21,130.92,66.45
6,65688,2,262.67,670.81,75.9,55.7
7,65202,2,618.23,666.45,164.01,82.28
7,65658,2,313.79,862.78,237.27,131.42
7,65165,2,675.83,696.31,200.98,102.18
7,65742,2,311.21,776.57,239.21,98.63
7,65166,2,406.95,616.95,131.18,68.32
8,65202,2,618.39,666.39,164.54,82.71
8,65658,2,313.82,862.63,237.26,131.6
8,65165,2,675.97,695.75,200.85,102.99
8,65742,2,311.35,776.27,239.31,98.55
9,65202,2,618.71,666.34,165.28,83.13
9,65658,2,313.74,862.59,237.28,131.57
9,65165,2,676.02,695.73,200.87,102.94
9,65742,2,311.3,776.27,239.18,98.54
9,65828,5,1795.82,495.6,247.08,117.92
9,65831,2,411.45,591.76,135.29,101.36
9,65166,2,409.45,610.38,132.75,74.33
10,65202,2,618.67,666.31,165.74,83.29
10,65658,2,313.77,862.6,237.37,131.59
10,65165,2,675.94,695.86,200.82,103.03
10,65742,2,311.33,776.21,239.51,98.47
10,65831,2,411.08,591.89,134.67,101.37
