frame,track_id,class_id,x_center,y_center,width,height
1,74337,2,908.56,432.88,217.34,100.07
1,74361,2,1539.71,548.74,263.5,108.47
1,74375,2,222.99,419.23,170.31,75.53
1,74024,2,1418.27,391.12,179.3,70.73
1,74333,2,472.05,458.74,211.78,92.38
1,74142,2,116.5,493.69,232.99,220.81
2,74142,5,259.62,492.33,519.24,223.39
2,74316,2,713.55,444.41,193.35,88.01
4,74337,2,899.22,397.9,159.43,84.88
4,74333,2,539.59,456.02,222.64,86.75
4,74142,2,302.12,530.07,368.73,138.43
5,74347,2,1216.91,386.52,193.58,80.09
5,74375,2,184.3,425.93,195.68,78.7
5,74316,2,809.59,446.54,223.74,86.36
6,74024,2,1488.11,381.37,156.87,65.68
6,74337,2,885.09,393.65,186.92,81.88
7,74342,2,1827.66,545.05,182.84,108.99
7,73335,5,1775.83,320.04,285.54,279.88
7,74347,2,1182.37,386.78,186.74,81.26
7,74375,2,221.78,421.89,204.58,81.03
8,74024,2,1476.74,381.06,177.07,73.68
8,74337,2,856.7,402.34,187.15,78.71
9,73335,5,1776.62,317.83,284.48,274.03
9,74347,2,1119.19,396.45,177.12,79.27
9,74375,2,219.06,426.75,197.33,73.37
10,74343,2,1593.16,429.87,204.5,82.01
10,74337,2,873.14,397.72,191.43,82.95
