frame,track_id,class_id,x_center,y_center,width,height
1,104215,2,715.88,684.25,171.18,79.13
1,104232,7,443.92,785.12,203.74,132.59
1,104223,2,319.31,650.69,192.11,81.55
1,104427,2,225.24,830.58,287.2,136.14
2,104215,2,715.72,684.29,172.73,80.04
2,104232,2,445.07,784.79,203.11,131.37
2,104223,2,319.42,650.88,192.25,82.21
2,104427,2,225.14,831.32,284.76,137.27
3,104232,7,445.69,784.72,201.12,131.09
3,104223,2,319.43,651.56,192.5,83.88
3,104427,2,224.0,831.44,282.27,137.83
4,104232,2,445.04,784.59,201.52,132.17
4,104223,2,319.54,651.82,192.18,84.57
4,104427,2,223.95,831.64,282.07,136.93
4,104448,2,689.39,921.12,341.24,172.34
4,104215,2,714.48,685.17,168.82,78.46
5,104232,2,444.47,784.68,203.92,131.79
5,104223,2,319.75,651.83,192.17,84.54
5,104427,2,223.77,831.45,281.66,137.38
5,104215,2,717.31,685.05,173.15,77.82
6,104232,2,444.62,784.82,204.07,131.87
6,104223,2,319.64,651.97,191.74,84.84
6,104427,2,223.92,831.61,281.93,138.52
6,104215,2,716.44,685.02,171.44,77.42
7,104232,2,444.64,785.17,204.94,132.03
7,104223,2,319.14,651.7,191.6,83.94
7,104427,2,224.52,831.21,282.02,137.88
7,104215,2,715.79,684.97,170.14,77.07
8,104232,2,444.64,785.22,205.24,131.58
8,104223,2,319.26,651.51,191.09,83.39
8,104427,2,224.53,831.97,283.05,138.1
8,104215,2,715.43,684.96,169.14,76.98
8,104466,7,444.53,785.42,204.39,130.85
8,104405,2,1394.58,420.42,61.14,29.16
9,104223,2,319.15,651.64,190.96,83.55
9,104427,2,225.65,832.45,285.65,138.24
9,104215,2,716.85,685.03,171.96,77.25
10,104223,2,319.24,650.52,191.03,81.22
10,104427,2,226.52,832.42,287.39,138.3
10,104215,2,715.71,685.21,169.68,77.62
10,104472,2,421.63,1022.99,411.31,221.07
10,104473,0,1188.97,663.96,33.09,80.45
10,104232,2,444.51,785.52,204.7,134.35
