frame,track_id,class_id,x_center,y_center,width,height
1,154941,2,375.77,831.5,271.89,137.51
1,154942,2,176.9,830.44,245.92,123.98
1,154944,7,685.62,670.3,205.43,127.39
1,154945,2,453.75,722.43,160.12,95.49
1,154976,0,1397.5,610.5,32.17,61.72
1,155015,0,1343.93,602.5,31.43,85.54
2,154941,2,375.88,831.49,272.11,137.55
2,154942,2,176.87,830.47,245.99,124.07
2,154944,7,685.25,670.17,204.48,127.46
2,154945,2,454.16,722.45,160.78,95.6
3,154941,2,375.74,831.7,271.61,137.54
3,154942,2,177.61,830.61,245.22,124.15
3,154944,7,686.08,670.18,207.11,128.15
3,154945,2,452.88,722.62,159.72,95.86
3,155015,0,1345.16,602.92,31.2,88.79
4,154941,2,375.97,831.58,272.26,137.67
4,154942,2,177.58,830.56,245.91,125.06
4,154944,7,686.58,670.05,208.18,128.36
4,154945,2,452.77,722.65,160.0,95.81
4,155015,0,1351.28,598.23,41.2,95.34
4,154952,2,150.59,828.7,187.48,115.11
5,154941,2,376.03,831.59,272.47,137.91
5,154942,2,177.45,830.62,245.9,125.75
5,154944,7,685.8,670.1,206.76,128.42
5,154945,2,453.17,722.58,160.79,95.78
5,154952,2,150.73,828.67,187.51,115.06
6,154941,2,375.66,831.78,271.54,137.76
6,154942,2,177.45,830.65,246.01,126.08
6,154944,7,685.7,670.02,206.46,128.29
6,154945,2,452.52,722.55,159.04,95.68
6,154952,2,150.74,828.59,187.43,114.97
7,154941,2,375.41,831.86,270.88,137.72
7,154942,2,177.44,830.34,245.89,125.85
7,154944,7,685.67,670.0,206.0,127.9
7,154945,2,452.14,722.54,158.53,95.86
7,154952,2,150.65,828.56,187.56,114.87
8,154941,2,375.46,831.88,271.12,137.6
8,154942,2,177.32,829.96,245.78,125.43
8,154944,7,685.54,669.98,205.85,128.06
8,154945,2,452.44,722.41,158.77,95.67
8,154952,2,150.48,828.47,187.44,114.66
9,154941,2,375.61,831.82,271.44,137.72
9,154942,2,177.43,830.27,245.64,124.51
9,154944,7,685.01,669.91,205.01,128.13
9,154945,2,453.18,722.31,159.85,95.86
10,154941,2,375.56,831.78,271.27,137.68
10,154942,2,177.15,830.05,245.93,124.79
10,154944,7,685.51,669.89,205.6,128.11
10,154945,2,453.25,722.36,160.24,95.8
10,155092,2,1802.05,613.02,197.65,92.93
10,155015,0,1345.68,600.77,33.65,90.5
