frame,track_id,class_id,x_center,y_center,width,height
0,1,0,0.593,0.7657,0.0426,0.2253
0,2,0,0.7149,0.3131,0.0274,0.1623
0,3,2,0.9319,0.4211,0.0687,0.0761
1,1,0,0.5928,0.7662,0.043,0.2279
1,2,0,0.7149,0.313,0.0273,0.1622
1,3,2,0.932,0.421,0.0684,0.0765
2,1,0,0.5928,0.7663,0.0431,0.2283
2,2,0,0.7149,0.313,0.0273,0.1622
2,3,2,0.932,0.421,0.0684,0.0765
3,1,0,0.5909,0.7572,0.0433,0.2256
3,2,0,0.7148,0.3129,0.0276,0.1625
3,3,2,0.9286,0.42,0.0686,0.0779
4,1,0,0.5904,0.7543,0.0434,0.2246
4,2,0,0.7147,0.3129,0.0277,0.1626
4,3,2,0.9275,0.4196,0.0686,0.0783
5,1,0,0.5866,0.7264,0.0438,0.2213
5,2,0,0.7148,0.3128,0.0276,0.1619
5,3,2,0.9204,0.4172,0.0705,0.0769
6,1,0,0.5853,0.7166,0.044,0.2196
6,2,0,0.7148,0.3127,0.0276,0.1615
6,3,2,0.9181,0.4166,0.0712,0.076
6,4,2,0.9537,0.449,0.0258,0.054
7,1,0,0.5847,0.7136,0.0438,0.2176
7,2,0,0.7148,0.3127,0.0276,0.1613
7,3,2,0.9174,0.4164,0.0715,0.0757
7,4,2,0.9537,0.4491,0.0258,0.0538
8,1,0,0.5825,0.6949,0.0413,0.2131
8,2,0,0.7148,0.3127,0.0275,0.161
8,3,2,0.9104,0.4108,0.0721,0.0751
8,4,2,0.9506,0.4508,0.0339,0.0669
9,1,0,0.5816,0.6793,0.0415,0.2106
9,2,0,0.7148,0.3126,0.0274,0.1608
9,3,2,0.9046,0.4094,0.072,0.0747
9,4,2,0.948,0.4526,0.0401,0.0739
10,1,0,0.5798,0.6666,0.0397,0.2102
10,2,0,0.7145,0.3127,0.0282,0.1602
10,3,2,0.9001,0.4091,0.0755,0.0766
10,4,2,0.945,0.4566,0.0463,0.0829
11,1,0,0.5792,0.6601,0.0395,0.2113
11,2,0,0.7144,0.3127,0.0285,0.16
11,3,2,0.8986,0.409,0.0768,0.0773
11,4,2,0.9438,0.4582,0.0488,0.0862
12,1,0,0.5766,0.6385,0.0375,0.2021
12,2,0,0.7143,0.3127,0.0287,0.16
12,3,2,0.8908,0.4092,0.0778,0.0769
12,4,2,0.9408,0.4582,0.0544,0.0883
13,1,0,0.5756,0.631,0.0367,0.1986
13,2,0,0.7146,0.3128,0.0278,0.1607
13,3,2,0.888,0.4095,0.0779,0.0793
13,4,2,0.9395,0.4581,0.0567,0.0887
13,9,2,0.0554,0.8281,0.1107,0.3286
14,1,0,0.5733,0.6189,0.0354,0.1902
14,2,0,0.7147,0.3127,0.0275,0.161
14,3,2,0.8839,0.4087,0.0795,0.0789
14,4,2,0.9372,0.4566,0.0613,0.0879
14,9,2,0.0573,0.8303,0.1145,0.3262
15,1,0,0.5717,0.6115,0.0334,0.1903
15,2,0,0.7148,0.3128,0.0271,0.1611
15,3,2,0.8781,0.4107,0.0824,0.083
15,4,2,0.935,0.4568,0.0657,0.0882
15,9,2,0.0547,0.7994,0.1094,0.3714
16,1,0,0.5712,0.6094,0.0327,0.1907
16,2,0,0.7148,0.3128,0.027,0.1611
16,3,2,0.876,0.4115,0.0835,0.0846
16,4,2,0.9342,0.4569,0.0675,0.0881
16,9,2,0.0538,0.7899,0.1075,0.3854
17,1,0,0.5691,0.5963,0.0322,0.1912
17,2,0,0.7149,0.3129,0.0268,0.1611
17,3,2,0.868,0.4119,0.0845,0.0873
17,4,2,0.9308,0.4553,0.0736,0.0889
17,9,2,0.0526,0.7776,0.1026,0.343
18,1,0,0.5684,0.5919,0.032,0.1913
18,2,0,0.7149,0.3129,0.0268,0.1611
18,3,2,0.8651,0.412,0.0848,0.0884
18,4,2,0.9295,0.4546,0.076,0.0891
18,9,2,0.0522,0.7743,0.1011,0.3258
19,1,0,0.5682,0.5904,0.032,0.1912
19,2,0,0.715,0.313,0.0266,0.1613
19,3,2,0.8642,0.412,0.0851,0.0893
19,4,2,0.9289,0.4544,0.0766,0.0891
19,9,2,0.0522,0.773,0.1007,0.3178
20,1,0,0.5662,0.5747,0.0316,0.1738
20,2,0,0.715,0.3128,0.0264,0.1609
20,3,2,0.8571,0.4108,0.0881,0.0873
20,4,2,0.9236,0.4537,0.0811,0.0898
20,9,2,0.052,0.753,0.1016,0.2977
21,1,0,0.5644,0.5668,0.0308,0.1722
21,2,0,0.715,0.3127,0.0261,0.1607
21,3,2,0.8512,0.4067,0.0901,0.079
